time,price,amount,bid_price,ask_price
9170604,141120,5,141120,141140
9170604,141110,3,141110,141130
9170809,141130,1,141120,141130
9170842,141140,1,141130,141140
9170972,141150,4,141140,141150
9170986,141150,1,141150,141180
9171029,141140,1,141140,141180
9171065,141140,1,141140,141150
9171074,141150,1,141130,141150
9171179,141140,1,141130,141140
9171237,141130,3,141130,141150
9171237,141120,1,141120,141150
9171240,141130,2,141100,141130
9171240,141130,3,141130,141140
9171247,141120,1,141110,141120
9171254,141140,1,141120,141140
9171271,141150,1,141140,141150
9171320,141170,1,141150,141170
9171491,141170,2,141160,141170
9171497,141180,1,141160,141180
9171643,141170,2,141160,141170
9171675,141170,1,141170,141190
9171783,141190,8,141170,141190
9171790,141190,1,141190,141210
9171798,141190,1,141190,141210
9171893,141200,2,141180,141200
9171893,141210,11,141190,141210
9171906,141200,1,141200,141230
9171922,141220,1,141200,141220
9171983,141230,10,141210,141230
9171983,141250,11,141220,141250
9172004,141230,1,141230,141250
9172028,141240,1,141240,141270
9172033,141230,1,141230,141260
9172175,141260,1,141240,141260
9172183,141260,1,141240,141260
9172183,141270,10,141250,141270
9172573,141280,4,141270,141280
9172576,141280,1,141280,141290
9172597,141260,4,141260,141290
9172597,141260,2,141250,141260
9172609,141260,3,141260,141290
9172609,141260,3,141250,141260
9172945,141250,2,141250,141270
9172945,141240,1,141250,141270
9172945,141230,1,141250,141270
9173243,141230,4,141230,141260
9173473,141230,2,141230,141240
9173689,141240,1,141220,141240
9173718,141240,1,141240,141270
9173718,141270,4,141240,141270
9173996,141270,1,141250,141270
9173997,141280,1,141260,141280
9173997,141290,10,141270,141290
9174127,141300,1,141290,141300
9174128,141310,10,141300,141310
9174128,141320,2,141310,141320
9174149,141330,1,141300,141330
9174333,141300,1,141300,141320
9174435,141300,1,141300,141320
9174538,141320,2,141300,141320
9174655,141310,3,141310,141330
9174655,141300,1,141310,141330
9174655,141290,1,141310,141330
9174655,141280,1,141310,141330
9174718,141310,1,141290,141310
9174995,141310,1,141290,141310
9174995,141320,2,141290,141320
9175071,141330,10,141310,141330
9175071,141340,2,141310,141340
9175071,141340,2,141310,141340
9175073,141350,13,141330,141350
9175268,141350,2,141320,141350
9175268,141360,2,141320,141350
9175268,141370,10,141320,141350
9175268,141380,2,141370,141380
9175268,141390,12,141380,141390
9175268,141400,1,141380,141400
9175269,141380,2,141380,141410
9175275,141380,4,141380,141400
9175276,141390,1,141380,141390
9175276,141400,2,141380,141400
9175276,141400,1,141400,141410
9175276,141400,2,141400,141410
9175281,141380,1,141380,141400
9175335,141390,3,141370,141390
